SEVERITY OF PROCEDURE,VIC,NSW,SA,TAS,QLD,ACT,WA,NT,TOTAL
Observational studies involving minor interference,"331,380","4,788,739",n/a,"102,124",n/a,n/a,"604,508",n/a,"5,826,751"
Animal unconscious without recovery,"120,002","151,234",n/a,"32,171",n/a,n/a,"8,273",n/a,"311,680"
Minor conscious intervention,"341,740","753,379",n/a,"18,384",n/a,n/a,"49,015",n/a,"1,162,518"
Minor operative procedures with recovery,"58,299","20,530",n/a,"1,658",n/a,n/a,"15,418",n/a,"95,905"
Surgery with recovery,"46,047","16,676",n/a,1300,n/a,n/a,"3,819",n/a,"67,842"
Minor physiological challenge,"90,267","73,223",n/a,"3,871",n/a,n/a,"19,464",n/a,"186,825"
Major physiological challenge,"72,150","34,489",n/a,386,n/a,n/a,"1,727",n/a,"108,752"
Death as an end point,"8,149","16,771",n/a,,n/a,n/a,0,n/a,"24,920"
Production of genetically modified animals,,"266,262",n/a,,n/a,n/a,"79,482",n/a,"345,744"
Unspecified,,,n/a,,n/a,n/a,,n/a,0
TOTALS,"1,068,034","6,121,303",,"159,894",,,"781,706",,"8,130,937"
