ANIMAL TYPE,VIC,NSW,SA,TAS,QLD,ACT,WA,NT,TOTAL
Mouse,"434,262","976,525",n/a,"4,287",n/a,n/a,"608,760",n/a,"2,023,834"
Rat,"26,666","36,522",n/a,721,n/a,n/a,"49,249",n/a,"113,158"
Guinea Pig,"5,160","2,427",n/a,,n/a,n/a,4,n/a,"7,591"
Rabbit,"1,449","1,922",n/a,,n/a,n/a,12,n/a,"3,383"
Other Lab Animals,"1,811",98,n/a,,n/a,n/a,,n/a,"1,909"
Cat,474,"1,489",n/a,,n/a,n/a,220,n/a,"2,183"
Dog,"2,121","3,896",n/a,2,n/a,n/a,594,n/a,"6,613"
Other Domestic,116,130,n/a,,n/a,n/a,36,n/a,282
Sheep,"76,983","70,047",n/a,"142,062",n/a,n/a,"44,830",n/a,"333,922"
Cattle,"11,990","23,566",n/a,"1,581",n/a,n/a,"5,896",n/a,"43,033"
Pig,"3,323","17,153",n/a,,n/a,n/a,"3,586",n/a,"24,062"
Horse/Donkey,862,"2,916",n/a,,n/a,n/a,859,n/a,"4,637"
Other Stock Animals,348,"1,036",n/a,,n/a,n/a,540,n/a,"1,924"
Native Mammals,"13,627","598,741",n/a,"2,373",n/a,n/a,"61,325",n/a,"676,066"
Exotic ‘feral’ Animals,3,"23,206",n/a,,n/a,n/a,"3,422",n/a,"26,631"
Primates,143,41,n/a,,n/a,n/a,18,n/a,202
Domestic Fowl,"97,634","327,049",n/a,30,n/a,n/a,"1,281",n/a,"425,994"
Other Birds,"23,127","133,509",n/a,"11,786",n/a,n/a,"215,803",n/a,"384,225"
Reptiles,"1,561","15,730",n/a,346,n/a,n/a,"13,061",n/a,"30,698"
Fish,"179,123",,n/a,"37,566",n/a,n/a,"98,639",n/a,"315,328"
Amphibians,"4,558","75,424",n/a,62,n/a,n/a,"3,878",n/a,"83,922"
Other Aquatic Animals,"24,179","652,902",n/a,274,n/a,n/a,"6,752",n/a,"684,107"
Other,532,145,n/a,,n/a,n/a,948,n/a,"1,625"
TOTALS,"910,052","2,964,280",n/a,"201,090",n/a,n/a,"1,119,713",n/a,"5,195,329"
